customer_id,movie_id,movie_name,genre,rating
U0001,M004,Interstellar,Sci-Fi,5
U0001,M095,The Martian,Sci-Fi,1
U0001,M036,Se7en,Thriller,5
U0001,M032,The Pursuit of Happyness,Drama,5
U0001,M029,Blade Runner 2049,Sci-Fi,1
U0001,M018,Superbad,Comedy,1
U0001,M014,The Shawshank Redemption,Drama,2
U0001,M087,The Mask,Comedy,2
U0002,M065,Eternal Sunshine,Romance,5
U0002,M078,Schindler's List,Drama,4
U0002,M004,Interstellar,Sci-Fi,1
U0002,M072,Nightcrawler,Thriller,3
U0002,M026,Mad Max: Fury Road,Action,4
U0002,M092,Iron Man,Action,3
U0002,M084,Anchorman,Comedy,3
U0002,M090,Doctor Strange,Action,2
U0002,M070,Prisoners,Thriller,3
U0002,M054,Top Gun: Maverick,Action,3
U0002,M029,Blade Runner 2049,Sci-Fi,1
U0002,M058,The Terminator,Sci-Fi,1
U0003,M013,Parasite,Thriller,5
U0003,M046,The Act of Killing,Documentary,2
U0003,M045,13th,Documentary,1
U0003,M078,Schindler's List,Drama,2
U0003,M034,Joker,Drama,3
U0003,M006,Avengers: Endgame,Action,3
U0003,M094,Dune,Sci-Fi,1
U0003,M059,2001: A Space Odyssey,Sci-Fi,2
U0003,M069,No Country for Old Men,Thriller,2
U0003,M016,Hereditary,Horror,4
U0003,M049,Harry Potter,Fantasy,4
U0003,M011,A Quiet Place,Horror,4
U0003,M071,Zodiac,Thriller,4
U0003,M038,Finding Nemo,Animation,4
U0003,M081,Dead Poets Society,Drama,4
U0003,M080,Good Will Hunting,Drama,4
U0003,M047,Jiro Dreams of Sushi,Documentary,2
U0004,M090,Doctor Strange,Action,3
U0004,M088,Black Panther,Action,5
U0004,M083,Monty Python,Comedy,2
U0004,M010,Pride and Prejudice,Romance,3
U0004,M078,Schindler's List,Drama,2
U0004,M082,A Beautiful Mind,Drama,3
U0004,M022,Midsommar,Horror,1
U0004,M069,No Country for Old Men,Thriller,4
U0004,M094,Dune,Sci-Fi,4
U0004,M032,The Pursuit of Happyness,Drama,4
U0004,M021,Bridesmaids,Comedy,1
U0004,M060,Arrival,Sci-Fi,2
U0004,M049,Harry Potter,Fantasy,5
U0005,M028,La La Land,Romance,5
U0005,M084,Anchorman,Comedy,4
U0005,M064,When Harry Met Sally,Romance,3
U0005,M051,Pan's Labyrinth,Fantasy,3
U0005,M083,Monty Python,Comedy,2
U0005,M059,2001: A Space Odyssey,Sci-Fi,5
U0005,M019,Alien,Sci-Fi,4
U0005,M034,Joker,Drama,2
U0005,M018,Superbad,Comedy,1
U0005,M032,The Pursuit of Happyness,Drama,2
U0005,M096,Annihilation,Sci-Fi,2
U0005,M072,Nightcrawler,Thriller,3
U0005,M069,No Country for Old Men,Thriller,5
U0005,M075,The Shining,Horror,5
U0005,M055,Mission Impossible,Action,1
U0006,M049,Harry Potter,Fantasy,4
U0006,M077,Us,Horror,2
U0006,M060,Arrival,Sci-Fi,4
U0006,M068,The Silence of the Lambs,Thriller,2
U0006,M033,Pitch Perfect,Comedy,3
U0006,M071,Zodiac,Thriller,5
U0006,M002,Inception,Sci-Fi,2
U0006,M088,Black Panther,Action,5
U0006,M093,Everything Everywhere All at Once,Sci-Fi,1
U0006,M015,Crazy Rich Asians,Romance,3
U0006,M069,No Country for Old Men,Thriller,5
U0006,M097,Moon,Sci-Fi,5
U0006,M035,The Big Lebowski,Comedy,2
U0006,M099,Barbarian,Horror,2
U0006,M083,Monty Python,Comedy,3
U0006,M044,Free Solo,Documentary,2
U0006,M038,Finding Nemo,Animation,5
U0007,M077,Us,Horror,3
U0007,M042,Coco,Animation,4
U0007,M063,Casablanca,Romance,2
U0007,M003,The Notebook,Romance,1
U0007,M015,Crazy Rich Asians,Romance,2
U0008,M011,A Quiet Place,Horror,2
U0008,M094,Dune,Sci-Fi,2
U0008,M063,Casablanca,Romance,4
U0008,M009,The Grand Budapest Hotel,Comedy,5
U0008,M098,The Menu,Thriller,3
U0008,M069,No Country for Old Men,Thriller,4
U0008,M099,Barbarian,Horror,5
U0009,M028,La La Land,Romance,1
U0009,M070,Prisoners,Thriller,4
U0009,M097,Moon,Sci-Fi,1
U0009,M094,Dune,Sci-Fi,5
U0009,M089,Spider-Man: No Way Home,Action,5
U0009,M026,Mad Max: Fury Road,Action,2
U0009,M092,Iron Man,Action,5
U0009,M040,WALL-E,Animation,4
U0009,M052,Princess Mononoke,Fantasy,2
U0009,M086,Airplane!,Comedy,1
U0009,M084,Anchorman,Comedy,1
U0009,M048,The Lord of the Rings,Fantasy,3
U0009,M057,Speed,Action,1
U0009,M067,The Fault in Our Stars,Romance,1
U0009,M058,The Terminator,Sci-Fi,3
U0009,M016,Hereditary,Horror,1
U0009,M032,The Pursuit of Happyness,Drama,5
U0009,M029,Blade Runner 2049,Sci-Fi,2
U0010,M086,Airplane!,Comedy,4
U0010,M063,Casablanca,Romance,3
U0010,M028,La La Land,Romance,4
U0010,M070,Prisoners,Thriller,5
U0010,M017,Forrest Gump,Drama,5
U0010,M093,Everything Everywhere All at Once,Sci-Fi,1
U0010,M074,Rosemary's Baby,Horror,1
U0010,M061,Ex Machina,Sci-Fi,1
U0010,M032,The Pursuit of Happyness,Drama,5
U0010,M053,Gladiator,Action,3
U0010,M025,It,Horror,1
U0010,M013,Parasite,Thriller,3
U0010,M085,Step Brothers,Comedy,2
U0011,M069,No Country for Old Men,Thriller,2
U0011,M058,The Terminator,Sci-Fi,1
U0011,M018,Superbad,Comedy,5
U0011,M055,Mission Impossible,Action,1
